65-151-2-42-12-26-5 15-322-600000
65-034-2-39-12-36-5 05-003-002000
65-040-2-39-10-36-4 01-000-001000
65-281-2-39-12-31-5 15-590-535500
65-036-2-40-11-29-3 03-000-004000
65-014-2-40-13-05-2 01-000-001000
65-004-2-38-13-02-5 05-009-001010
65-106-2-37-10-25-5 15-526-568000
65-281-2-39-12-31-5 15-256-500000
65-024-2-41-11-25-3 01-000-002000
65-014-2-40-13-15-5 05-003-001000
65-008-2-38-12-16-2 03-000-002000
65-010-2-38-10-27-1 03-000-001000
65-016-2-41-12-08-1 04-000-001000
65-010-2-37-10-28-4 04-000-001000
65-282-2-38-13-26-4 02-000-001000
65-026-2-37-11-35-2 03-000-001000
65-004-2-38-13-10-3 02-000-002000
65-038-2-41-10-35-3 02-000-003000
65-026-2-37-11-06-3 04-000-001000
65-014-2-40-13-31-1 04-000-001000
65-281-2-39-12-31-5 15-032-607500
65-281-2-39-12-31-5 15-032-601000
65-016-2-41-13-17-4 04-000-001000
65-010-2-38-10-05-5 05-007-001000
65-014-2-40-13-17-5 05-007-016000
65-010-2-38-10-16-5 15-434-547500
65-151-2-42-12-25-5 15-676-502500
65-004-2-38-13-01-3 04-000-001000
65-022-2-42-11-05-4 04-000-001000
65-010-2-37-10-01-4 02-000-001000
65-004-2-38-13-33-4 04-000-004000
65-010-2-37-10-13-1 03-000-001000
65-282-2-37-12-05-5 05-006-002020
65-020-2-39-13-35-5 15-318-511000
65-042-2-40-12-35-2 02-000-003000
65-008-2-38-12-25-1 01-000-001000
65-038-2-41-10-09-4 01-000-001000
65-038-2-41-10-34-2 02-000-001000
65-016-2-41-13-07-2 03-000-001000
65-022-2-42-10-21-1 04-000-001000
65-014-2-40-13-17-5 05-008-012000
65-030-2-42-12-09-5 05-006-003000
65-010-2-37-10-16-5 05-003-003000
65-008-2-38-12-06-5 05-005-007000
65-030-2-42-12-05-3 01-000-003000
65-040-2-39-10-20-2 04-000-001000
65-038-2-41-10-33-2 02-000-010000
65-008-2-38-12-09-4 02-000-001000
65-282-2-38-13-25-5 15-644-501500
65-151-2-42-12-23-5 15-532-004010
65-006-2-40-10-11-5 15-414-678000
65-014-2-40-13-26-5 16-961-602000
65-282-2-37-13-01-5 05-002-006000
65-016-2-41-12-06-1 03-000-001000
PUB DEDICAT
65-002-2-37-13-34-2 02-000-001000
65-038-2-41-10-33-2 02-000-001000
65-016-2-41-13-05-4 01-000-001000
65-004-2-38-13-02-5 15-108-500500
65-028-2-38-11-34-1 03-000-001000
65-042-2-40-12-35-5 15-200-553500
65-281-2-39-12-30-5 15-140-520000
65-010-2-37-10-10-5 05-008-003000
65-010-2-37-10-18-2 02-000-001000
65-030-2-42-13-22-5 05-002-014000
65-016-2-41-13-11-5 15-784-586000
65-020-2-39-13-13-5 05-003-008000
65-282-2-38-13-36-5 05-002-001000
65-036-2-40-11-03-4 04-000-001000
65-030-2-42-13-27-5 15-374-504500
65-034-2-39-12-27-5 15-404-500500
65-106-2-37-10-25-5 15-526-590500
65-018-2-39-11-24-2 04-000-001000
65-032-2-37-12-31-4 02-000-007000
65-010-2-37-10-11-3 01-000-001000
65-040-2-39-10-25-5 05-001-001010
65-042-2-40-12-23-5 05-001-001000
65-036-2-40-11-12-1 03-000-002000
65-002-2-37-13-10-4 01-000-002000
65-016-2-41-12-07-4 04-000-001000
65-020-2-39-13-01-3 01-000-001000
65-002-2-37-13-18-2 01-000-006000
65-030-2-42-12-33-4 04-000-004000
65-038-2-41-10-21-4 01-000-001000
65-281-2-39-12-30-5 15-366-503000
65-016-2-41-12-05-4 01-000-005010
65-024-2-41-11-27-1 03-000-001000
65-018-2-39-11-11-3 01-000-001000
65-004-2-38-13-28-4 04-000-001200
65-030-2-42-13-23-2 04-000-001000
65-030-2-42-13-19-1 02-000-001000
65-042-2-40-12-15-3 01-000-001000
65-026-2-37-11-13-5 05-002-030010
65-040-2-39-10-05-2 02-000-001000
65-006-2-40-10-28-3 04-000-004000
65-034-2-39-12-29-2 03-000-003000
65-014-2-40-13-30-5 05-003-003000
65-281-2-39-12-30-5 15-631-706500
65-030-2-42-13-01-2 03-000-002000
65-028-2-38-11-28-2 02-000-001010
65-020-2-39-13-06-4 01-000-004000
65-022-2-42-10-05-2 04-000-001000
65-028-2-38-11-27-3 03-000-002000
65-106-2-37-10-25-5 15-696-682000
65-030-2-42-12-13-1 01-000-001000
65-014-2-40-13-27-5 05-003-002000
65-018-2-39-11-30-1 04-000-002010
65-016-2-41-12-09-3 04-000-001000
65-014-2-40-13-34-3 01-000-001000
65-032-2-37-12-29-1 01-000-001000
65-282-2-37-13-01-5 05-003-001000
65-281-2-39-12-31-5 15-080-002040
65-026-2-37-11-27-4 01-000-002000
65-042-2-40-12-30-5 05-001-003000
65-034-2-39-12-20-3 02-000-005000
65-020-2-39-13-36-2 03-000-004000
65-034-2-39-12-19-2 04-000-001000
65-281-2-39-12-32-5 15-080-013000
65-042-2-40-12-26-4 04-000-004000
65-030-2-42-12-22-4 02-000-009000
65-018-2-39-11-36-5 05-004-006000
65-020-2-39-13-09-3 02-000-001000
65-106-2-37-10-25-5 15-526-511510
65-032-2-37-12-01-5 05-003-004000
65-040-2-39-10-07-3 03-000-001010
65-030-2-42-12-21-2 01-000-001000
65-002-2-37-13-10-4 01-000-001000
65-030-2-42-12-19-5 05-002-014000
65-016-2-41-12-07-5 05-003-002020
65-016-2-41-13-27-1 04-000-002000
65-036-2-40-11-30-3 04-000-001000
65-020-2-39-13-34-4 03-000-004000
65-008-2-38-12-02-5 05-004-011000
65-030-2-42-12-18-2 02-000-001000
65-106-2-37-10-25-5 15-576-749000
65-032-2-37-12-24-3 04-000-001000
65-004-2-38-13-02-5 15-144-504000
65-016-2-41-13-05-4 01-000-006000
65-026-2-37-11-16-3 04-000-001000
65-040-2-39-10-24-5 15-792-610000
65-036-2-40-11-33-1 01-000-005000
65-038-2-41-10-14-2 03-000-001000
65-018-2-39-11-31-2 01-000-001000
65-012-2-41-12-36-5 05-004-005000
65-014-2-40-13-36-5 05-006-006000
65-030-2-42-13-24-5 05-001-002000
65-038-2-41-10-06-3 04-000-001000
65-004-2-38-13-27-2 03-000-001000
65-036-2-40-11-02-4 03-000-002000
65-030-2-42-13-12-3 01-000-003000
65-282-2-38-12-29-5 05-005-003000
65-010-2-37-10-24-5 05-003-002000
65-032-2-37-12-21-1 03-000-001000
65-010-2-38-10-20-5 15-270-564000
65-030-2-42-13-27-5 05-005-013000
65-281-2-39-12-31-5 15-256-514500
65-028-2-38-11-29-5 05-003-004010
65-028-2-38-11-02-5 05-005-001000
65-006-2-40-10-21-3 01-000-001000
65-014-2-40-13-23-5 05-009-009000
65-034-2-39-12-27-3 04-000-008000
65-006-2-40-10-07-2 03-000-002000
65-004-2-38-13-24-2 04-000-001000
65-040-2-39-10-32-3 01-000-001000
65-024-2-41-11-25-3 02-000-001000
65-034-2-39-12-25-5 15-485-503000
65-281-2-39-12-31-5 15-040-719000
65-282-2-37-12-06-5 05-002-007000
65-030-2-42-12-20-3 01-000-001000
65-012-2-41-12-36-4 03-000-001000
65-010-2-37-10-24-5 05-005-012000
65-008-2-38-12-11-3 02-000-005000
65-030-2-42-13-34-1 03-000-001000
65-020-2-39-13-35-5 05-001-002010
65-030-2-42-12-17-5 05-007-004000
65-026-2-37-11-03-5 16-911-502500
65-030-2-42-12-22-1 02-000-001000
65-018-2-39-11-27-1 02-000-001000
65-281-2-39-12-31-5 15-527-536000
65-008-2-38-12-27-2 01-000-002000
65-282-2-38-12-32-5 05-002-011000
65-016-2-41-13-33-2 03-000-001000
65-282-2-38-13-26-5 15-240-819000
65-034-2-39-12-35-5 05-002-005000
65-030-2-42-12-17-5 15-274-551500
65-151-2-42-12-25-5 15-598-503500
65-014-2-40-13-22-5 05-006-001000
65-030-2-42-13-18-5 05-004-007000
65-006-2-40-10-36-2 03-000-004000
65-008-2-38-12-26-2 02-000-002000
65-022-2-42-10-30-3 03-000-001000
65-028-2-38-11-26-5 15-164-507500
65-106-2-37-10-25-5 15-576-535500
65-030-2-42-12-11-1 02-000-001000
65-042-2-40-12-07-1 04-000-001000
65-281-2-39-12-32-5 20-000-019000
65-281-2-39-12-31-5 15-036-656500
65-026-2-37-11-09-5 05-003-008000
65-020-2-39-13-34-1 02-000-002000
65-014-2-40-13-11-5 15-386-522500
65-030-2-42-12-19-5 15-664-507000
65-016-2-41-13-11-5 15-784-956200
65-032-2-37-12-09-5 15-232-522000
65-030-2-42-12-02-3 04-000-001000
65-010-2-37-10-01-5 05-003-002000
65-032-2-37-12-01-5 05-002-001000
65-020-2-39-13-07-1 02-000-004000
65-020-2-39-13-30-4 01-000-002000
65-032-2-37-12-23-1 04-000-002000
65-004-2-38-13-09-4 02-000-001000
65-032-2-37-12-11-4 03-000-001000
65-016-2-41-13-23-5 05-006-005500
65-028-2-38-11-26-5 15-164-501600
65-030-2-42-13-05-5 15-708-502000
65-004-2-38-13-14-1 02-000-001000
65-030-2-42-12-26-3 04-000-002000
65-281-2-39-12-31-5 15-306-501000
65-038-2-41-10-09-2 04-000-001000
65-004-2-38-13-20-4 01-000-007000
65-010-2-38-10-17-2 04-000-003000
65-014-2-40-13-10-3 03-000-001000
65-020-2-39-13-15-2 01-000-001000
65-010-2-37-10-33-4 01-000-001000
65-040-2-39-10-27-3 03-000-001000
65-026-2-37-11-24-2 04-000-001000
65-282-2-38-12-29-5 05-001-004000
65-020-2-39-13-18-2 03-000-006000
65-014-2-40-13-14-5 05-001-006000
65-022-2-42-10-25-2 04-000-001000
65-042-2-40-12-18-4 03-000-001000
65-030-2-42-12-08-5 05-001-003000
65-010-2-37-10-09-2 04-000-001000
65-008-2-38-12-36-2 01-000-002000
65-042-2-39-12-09-1 04-000-001000
65-030-2-42-12-33-5 05-001-003000
65-010-2-38-10-16-5 15-434-526000
65-030-2-42-13-17-5 15-628-513000
65-106-2-37-10-25-5 15-696-714000
65-028-2-38-11-35-5 05-002-011000
65-036-2-40-11-29-2 04-000-004000
65-004-2-38-13-24-4 03-000-001200
65-010-2-38-10-05-4 03-000-001000
65-034-2-39-12-18-5 15-582-507500
65-018-2-39-11-35-1 01-000-001000
65-024-2-41-11-19-4 02-000-001000
65-024-2-41-11-33-1 04-000-001000
65-008-2-38-12-26-2 01-000-001000
65-028-2-38-11-34-4 02-000-001000
65-010-2-38-10-19-5 15-148-528500
65-002-2-37-13-25-2 04-000-001000
65-016-2-41-13-15-4 03-000-001000
65-281-2-39-12-31-5 15-080-008000
65-106-2-37-10-25-5 15-526-565500
65-030-2-42-12-36-4 01-000-001000
65-004-2-38-13-01-5 05-009-001010
65-042-2-40-12-34-2 02-000-010000
65-024-2-41-11-30-4 01-000-001000
65-016-2-41-13-11-5 15-784-855800
65-026-2-37-11-18-2 03-000-001000
65-008-2-38-12-16-4 03-000-003000
65-010-2-38-10-15-2 02-000-001000
65-281-2-39-12-31-5 15-184-510000
65-020-2-39-13-12-4 01-000-001000
65-281-2-39-12-30-5 15-630-620000
65-282-2-38-13-26-5 15-240-823000
65-010-2-38-10-21-1 04-000-001000
65-030-2-42-12-17-5 15-274-508000
65-020-2-39-13-35-5 15-318-501500
65-030-2-42-13-24-2 02-000-001000
65-020-2-39-13-13-5 05-002-003000
65-016-2-41-13-11-5 15-784-743600
65-042-2-40-12-13-3 04-000-001000
65-030-2-42-13-26-5 15-752-522500
65-012-2-41-12-02-2 04-000-002000
65-028-2-38-11-35-5 05-003-015000
65-028-2-38-11-35-5 15-518-501500
65-040-2-39-10-22-4 02-000-001000
65-282-2-37-13-02-1 03-000-004000
65-010-2-37-10-20-4 03-000-001000
65-008-2-38-12-25-3 02-000-001000
65-036-2-40-11-25-5 05-003-005000
65-024-2-41-11-29-5 05-005-006000
65-030-2-42-13-27-5 05-006-014000
65-036-2-40-11-14-4 03-000-020000
65-010-2-38-10-19-5 15-148-511500
65-038-2-41-10-35-3 02-000-007000
65-030-2-42-12-17-5 15-274-548000
65-040-2-39-10-21-2 03-000-001000
65-024-2-41-11-03-3 04-000-001000
65-042-2-40-12-34-1 03-000-006000
65-026-2-37-11-16-5 05-002-001600
65-026-2-37-11-11-1 02-000-001000
65-028-2-38-11-31-5 05-002-002010
