21  01 12
30  23 85 42
33  12 77  9
25  25 76 28
18  28 24  1
15  04 34 20
06 133 42  8
20  02 33  6
19  20 13  1
03  02 71 17
05  32 31  4
19  06 34  1
10  19 21  5
21  13 60
07  34 21  3
07  27 32  3
06  31 73 82
21  05 55  4
15  28 13  5
30  26 86  5
11  35 32  2
33  13 41  6
34  30 75  3
09  01 13  1
07  32 31  5
30  23 92101
15  25 12  5
34  29 32 30
17  05 11  2
07  35 12  1
02  23 43 19
22  01 33  7
12  07 72 40
19  09 24  3
10  33 21  1
15  14 42  6
15  06 34  2
26  35 83  5
19  27 44  7
34  24 74 16
34  29 23 21
34  30 72 19
05  33 81  5
34  19 78148
35  04 73 38
22  26 34  4
09  20 41  6
10  17 24  6
30  23 85 15
18  21 42  2
20  28 71  2
05  35 80 16
09  19 41  3
02  02 44  5
06  20 42  2
15  03 71 38
25  25 71214
09  10 13 25
20  26 43  2
01  27 24  2
01  15 11
32  02 83  3
11  03 33  2
05  10 31  2
04  29 42
10  35 23  2
19  02 23
21  12 53
35  04 70199
35  04 70 13
11  18 32 14
33  13 75  4
03  13 31 31
32  02101 26
17  28 42  3
14  18 52  6
22  16 13
32  02 75  9
10  33 11
33  12 77 94
18  34 34
34  24 74 28
10  28 43  1
07  03 32  2
02  01 43  5
10  04 32  2
18  16 22  2
35  04 70277
35  04 70142
08  31 43  2
14  08 43  2
11  09 24
03  18 11  6
04  34 43
13  15 71 30
17  19 33
16  07 22  3
18  15 22  1
34  29 21 10
15  36 71 16
34  19 84 25
08  32 24  2
35  04 33  4
25  25 71146
34  25 75 30
18  10 24  2
05  33 74  4
16  01 71115
34  26 70 29
05  31 23  3
25  25 81 12
15  07 33  2
34  19 82 72
10  11 41  6
33  12 72 20
05  12 24  2
07  11 23  5
15  28 11 16
33  13 71  3
03  35 44  9
25  25 71 24
30  23 90 90
08  08 23  1
05  23 71 15
33  13 32  1
04  36 22  1
31  15 34  9
05  34 55 18
17  03 23  2
30  26 74 60
13  30 12 15
21  12 22  3
03  04 79 19
34  19 76  8
04  03 32  3
06 127 51
15  04 41  4
04  09 31
14  33 14  4
10  34 22  2
16  10 22  2
35  04 71  9
14  22 32  1
02  01 23  4
03  07 42  1
13  21 34 11
11  27 34
19  27 44  8
05  16 71 21
05  32 71 30
33  12 72  2
14  07 57  1
05  22 12  4
10  23 71  8
35  04 71  2
05  02 22  3
12  33 21
32  02102  1
28  23 24  9
05  12 22  1
03  15 22 13
34  30 13  2
33  13 77 49
34  19 41 12
13  32 52  3
02  26 12 17
05  28 71 13
12  02 23  1
15  19 31  1
33  13 42  2
02  26 21 20
34  29 71  2
01  23 13  2
14  02 33
31  15 74 36
03  05 52 16
22  01 34  3
09  24 52 22
03  04 56  4
03  08 73 31
16  01 71365
34  30 70 77
12  02 43  2
